Num,Date,Time,Temp,Lux
333,6/17/2013,06:00:00 fm,8.282,1636.10
334,6/17/2013,06:30:00 fm,8.282,1280.90
335,6/17/2013,07:00:00 fm,8.382,1894.50
336,6/17/2013,07:30:00 fm,8.481,3444.50
337,6/17/2013,08:00:00 fm,8.481,2927.80
338,6/17/2013,08:30:00 fm,8.68,4305.60
339,6/17/2013,09:00:00 fm,8.879,4477.80
340,6/17/2013,09:30:00 fm,8.978,4477.80
341,6/17/2013,10:00:00 fm,9.176,4994.50
342,6/17/2013,10:30:00 fm,9.472,9644.50
343,6/17/2013,11:00:00 fm,10.259,49600.30
344,6/17/2013,11:30:00 fm,10.063,1463.90
345,6/17/2013,12:00:00 em,10.455,7577.80
346,6/17/2013,12:30:00 em,10.944,10333.40
347,6/17/2013,01:00:00 em,11.139,6200.00
348,6/17/2013,01:30:00 em,11.041,10677.80
349,6/17/2013,02:00:00 em,11.236,7233.40
350,6/17/2013,02:30:00 em,11.334,6544.50
351,6/17/2013,03:00:00 em,11.334,11711.20
352,6/17/2013,03:30:00 em,11.334,5166.70
353,6/17/2013,04:00:00 em,11.334,4994.50
354,6/17/2013,04:30:00 em,11.334,1980.60
355,6/17/2013,05:00:00 em,11.236,5166.70
356,6/17/2013,05:30:00 em,11.139,5511.10
357,6/17/2013,06:00:00 em,11.041,4994.50
358,6/17/2013,06:30:00 em,10.944,3961.10
359,6/17/2013,07:00:00 em,10.944,4477.80
360,6/17/2013,07:30:00 em,10.651,2411.10
361,6/17/2013,08:00:00 em,10.455,2152.80
362,6/17/2013,08:30:00 em,10.259,667.4
363,6/17/2013,09:00:00 em,10.063,1033.30
364,6/17/2013,09:30:00 em,9.866,688.9
365,6/17/2013,10:00:00 em,9.768,301.4
366,6/17/2013,10:30:00 em,9.571,226
367,6/17/2013,11:00:00 em,9.373,86.1
368,6/17/2013,11:30:00 em,9.176,43.1
369,6/18/2013,12:00:00 fm,8.978,21.5
370,6/18/2013,12:30:00 fm,8.879,10.8
371,6/18/2013,01:00:00 fm,8.68,10.8
372,6/18/2013,01:30:00 fm,8.581,10.8
373,6/18/2013,02:00:00 fm,8.382,32.3
374,6/18/2013,02:30:00 fm,8.182,64.6
375,6/18/2013,03:00:00 fm,7.983,204.5
376,6/18/2013,03:30:00 fm,7.882,215.3
377,6/18/2013,04:00:00 fm,7.782,602.8
378,6/18/2013,04:30:00 fm,7.682,570.5
379,6/18/2013,05:00:00 fm,7.582,1076.40
380,6/18/2013,05:30:00 fm,7.582,1313.20
381,6/18/2013,06:00:00 fm,7.582,1636.10
382,6/18/2013,06:30:00 fm,7.582,1894.50
383,6/18/2013,07:00:00 fm,7.582,2238.90
384,6/18/2013,07:30:00 fm,7.682,2669.50
385,6/18/2013,08:00:00 fm,7.682,3272.20
386,6/18/2013,08:30:00 fm,7.782,3616.70
387,6/18/2013,09:00:00 fm,8.082,6200.00
388,6/18/2013,09:30:00 fm,8.282,7233.40
389,6/18/2013,10:00:00 fm,8.382,6544.50
390,6/18/2013,10:30:00 fm,8.68,5511.10
391,6/18/2013,11:00:00 fm,10.161,55111.50
392,6/18/2013,11:30:00 fm,9.373,6200.00
393,6/18/2013,12:00:00 em,9.571,4994.50
394,6/18/2013,12:30:00 em,9.768,5511.10
395,6/18/2013,01:00:00 em,10.063,7577.80
396,6/18/2013,01:30:00 em,10.063,6544.50
397,6/18/2013,02:00:00 em,10.259,14466.80
398,6/18/2013,02:30:00 em,10.455,12400.10
399,6/18/2013,03:00:00 em,10.553,11711.20
400,6/18/2013,03:30:00 em,10.455,6200.00
401,6/18/2013,04:00:00 em,10.455,3616.70
402,6/18/2013,04:30:00 em,10.455,8611.20
403,6/18/2013,05:00:00 em,10.651,3100.00
404,6/18/2013,05:30:00 em,10.651,7233.40
405,6/18/2013,06:00:00 em,10.553,4822.30
406,6/18/2013,06:30:00 em,10.455,3100.00
407,6/18/2013,07:00:00 em,10.357,4650.00
408,6/18/2013,07:30:00 em,10.259,4133.40
409,6/18/2013,08:00:00 em,10.161,882.6
410,6/18/2013,08:30:00 em,10.063,1636.10
411,6/18/2013,09:00:00 em,9.965,1334.70
412,6/18/2013,09:30:00 em,9.866,850.4
413,6/18/2013,10:00:00 em,9.669,516.7
414,6/18/2013,10:30:00 em,9.472,236.8
415,6/18/2013,11:00:00 em,9.373,86.1
416,6/18/2013,11:30:00 em,9.176,43.1
417,6/19/2013,12:00:00 fm,8.978,21.5
418,6/19/2013,12:30:00 fm,8.779,0
419,6/19/2013,01:00:00 fm,8.581,0
420,6/19/2013,01:30:00 fm,8.382,10.8
421,6/19/2013,02:00:00 fm,8.082,32.3
422,6/19/2013,02:30:00 fm,7.882,64.6
423,6/19/2013,03:00:00 fm,7.682,215.3
424,6/19/2013,03:30:00 fm,7.582,387.5
425,6/19/2013,04:00:00 fm,7.481,613.5
426,6/19/2013,04:30:00 fm,7.481,1550.00
427,6/19/2013,05:00:00 fm,7.481,1808.30
428,6/19/2013,05:30:00 fm,7.582,1550.00
429,6/19/2013,06:00:00 fm,7.682,2497.20
430,6/19/2013,06:30:00 fm,7.782,2927.80
431,6/19/2013,07:00:00 fm,7.782,2497.20
432,6/19/2013,07:30:00 fm,7.882,2927.80
433,6/19/2013,08:00:00 fm,7.983,4133.40
434,6/19/2013,08:30:00 fm,8.082,4477.80
435,6/19/2013,09:00:00 fm,8.282,3788.90
436,6/19/2013,09:30:00 fm,8.282,3616.70
437,6/19/2013,10:00:00 fm,8.481,7233.40
438,6/19/2013,10:30:00 fm,8.779,5338.90
439,6/19/2013,11:00:00 fm,9.472,10333.40
440,6/19/2013,11:30:00 fm,9.571,6544.50
441,6/19/2013,12:00:00 em,9.669,6200.00
442,6/19/2013,12:30:00 em,9.866,8611.20
443,6/19/2013,01:00:00 em,10.063,8266.70
444,6/19/2013,01:30:00 em,10.161,6200.00
445,6/19/2013,02:00:00 em,10.553,8266.70
446,6/19/2013,02:30:00 em,10.357,4822.30
447,6/19/2013,03:00:00 em,10.259,2927.80
448,6/19/2013,03:30:00 em,10.259,1894.50
449,6/19/2013,04:00:00 em,10.259,3616.70
450,6/19/2013,04:30:00 em,10.357,2927.80
451,6/19/2013,05:00:00 em,10.455,7233.40
452,6/19/2013,05:30:00 em,10.651,5166.70
453,6/19/2013,06:00:00 em,10.748,5511.10
454,6/19/2013,06:30:00 em,10.748,5338.90
455,6/19/2013,07:00:00 em,10.651,3100.00
456,6/19/2013,07:30:00 em,10.651,2755.60
457,6/19/2013,08:00:00 em,10.553,1216.30
458,6/19/2013,08:30:00 em,10.553,925.7
459,6/19/2013,09:00:00 em,10.455,635.1
460,6/19/2013,09:30:00 em,10.357,193.8
461,6/19/2013,10:00:00 em,10.259,333.7
462,6/19/2013,10:30:00 em,10.161,172.2
463,6/19/2013,11:00:00 em,9.965,32.3
464,6/19/2013,11:30:00 em,9.965,10.8
465,6/20/2013,12:00:00 fm,9.866,0
466,6/20/2013,12:30:00 fm,9.669,0
467,6/20/2013,01:00:00 fm,9.571,0
468,6/20/2013,01:30:00 fm,9.472,0
469,6/20/2013,02:00:00 fm,9.373,0
470,6/20/2013,02:30:00 fm,9.373,0
471,6/20/2013,03:00:00 fm,9.275,43.1
472,6/20/2013,03:30:00 fm,9.176,64.6
473,6/20/2013,04:00:00 fm,9.176,172.2
474,6/20/2013,04:30:00 fm,9.077,150.7
475,6/20/2013,05:00:00 fm,9.077,387.5
476,6/20/2013,05:30:00 fm,8.978,656.6
477,6/20/2013,06:00:00 fm,8.978,699.7
478,6/20/2013,06:30:00 fm,8.879,861.1
479,6/20/2013,07:00:00 fm,8.879,409
480,6/20/2013,07:30:00 fm,8.879,1291.70
481,6/20/2013,08:00:00 fm,8.879,871.9
482,6/20/2013,08:30:00 fm,8.779,947.2
483,6/20/2013,09:00:00 fm,8.879,1345.50
484,6/20/2013,09:30:00 fm,8.879,1636.10
485,6/20/2013,10:00:00 fm,8.978,2238.90
486,6/20/2013,10:30:00 fm,9.077,2755.60
487,6/20/2013,11:00:00 fm,9.077,2152.80
488,6/20/2013,11:30:00 fm,9.077,2755.60
489,6/20/2013,12:00:00 em,9.176,3444.50
490,6/20/2013,12:30:00 em,9.275,3444.50
491,6/20/2013,01:00:00 em,9.275,4477.80
492,6/20/2013,01:30:00 em,9.373,4994.50
493,6/20/2013,02:00:00 em,9.571,11022.30
494,6/20/2013,02:30:00 em,9.669,3788.90
495,6/20/2013,03:00:00 em,9.866,7577.80
496,6/20/2013,03:30:00 em,9.965,6544.50
497,6/20/2013,04:00:00 em,9.965,6544.50
498,6/20/2013,04:30:00 em,10.357,4822.30
499,6/20/2013,05:00:00 em,10.455,4822.30
500,6/20/2013,05:30:00 em,10.455,5511.10
501,6/20/2013,06:00:00 em,10.553,4305.60
502,6/20/2013,06:30:00 em,10.651,6544.50
503,6/20/2013,07:00:00 em,10.651,7577.80
504,6/20/2013,07:30:00 em,10.553,1054.90
505,6/20/2013,08:00:00 em,10.455,871.9
506,6/20/2013,08:30:00 em,10.357,1377.80
507,6/20/2013,09:00:00 em,10.259,1033.30
508,6/20/2013,09:30:00 em,10.161,753.5
509,6/20/2013,10:00:00 em,10.063,441.3
510,6/20/2013,10:30:00 em,9.866,204.5
511,6/20/2013,11:00:00 em,9.669,64.6
512,6/20/2013,11:30:00 em,9.472,32.3
513,6/21/2013,12:00:00 fm,9.373,10.8
514,6/21/2013,12:30:00 fm,9.176,0
515,6/21/2013,01:00:00 fm,8.978,0
516,6/21/2013,01:30:00 fm,8.779,10.8
517,6/21/2013,02:00:00 fm,8.581,21.5
518,6/21/2013,02:30:00 fm,8.382,53.8
519,6/21/2013,03:00:00 fm,8.182,172.2
520,6/21/2013,03:30:00 fm,8.082,226
521,6/21/2013,04:00:00 fm,7.983,236.8
522,6/21/2013,04:30:00 fm,7.782,828.8
523,6/21/2013,05:00:00 fm,7.782,1001.00
524,6/21/2013,05:30:00 fm,7.782,1237.90
525,6/21/2013,06:00:00 fm,7.782,1463.90
526,6/21/2013,06:30:00 fm,7.882,2755.60
527,6/21/2013,07:00:00 fm,8.082,3100.00
528,6/21/2013,07:30:00 fm,8.282,4305.60
529,6/21/2013,08:00:00 fm,8.481,4477.80
530,6/21/2013,08:30:00 fm,8.68,5338.90
531,6/21/2013,09:00:00 fm,8.779,5338.90
532,6/21/2013,09:30:00 fm,8.879,3272.20
533,6/21/2013,10:00:00 fm,8.978,4305.60
534,6/21/2013,10:30:00 fm,8.978,3616.70
535,6/21/2013,11:00:00 fm,9.176,3616.70
536,6/21/2013,11:30:00 fm,9.373,9644.50
537,6/21/2013,12:00:00 em,9.669,6200.00
538,6/21/2013,12:30:00 em,10.259,8611.20
539,6/21/2013,01:00:00 em,10.357,8611.20
540,6/21/2013,01:30:00 em,10.651,6544.50
541,6/21/2013,02:00:00 em,10.553,2411.10
542,6/21/2013,02:30:00 em,10.651,5166.70
543,6/21/2013,03:00:00 em,10.944,5338.90
544,6/21/2013,03:30:00 em,11.139,4477.80
545,6/21/2013,04:00:00 em,11.139,5166.70
546,6/21/2013,04:30:00 em,11.139,2497.20
547,6/21/2013,05:00:00 em,11.334,5338.90
548,6/21/2013,05:30:00 em,11.334,4650.00
549,6/21/2013,06:00:00 em,11.334,4994.50
550,6/21/2013,06:30:00 em,11.334,4650.00
551,6/21/2013,07:00:00 em,11.334,3100.00
552,6/21/2013,07:30:00 em,11.139,1550.00
553,6/21/2013,08:00:00 em,11.139,1636.10
554,6/21/2013,08:30:00 em,11.041,1636.10
555,6/21/2013,09:00:00 em,10.944,936.5
556,6/21/2013,09:30:00 em,10.748,828.8
557,6/21/2013,10:00:00 em,10.651,473.6
558,6/21/2013,10:30:00 em,10.455,150.7
559,6/21/2013,11:00:00 em,10.259,43.1
560,6/21/2013,11:30:00 em,10.161,10.8
561,6/22/2013,12:00:00 fm,10.063,0
562,6/22/2013,12:30:00 fm,9.965,0
563,6/22/2013,01:00:00 fm,9.866,0
564,6/22/2013,01:30:00 fm,9.866,0
565,6/22/2013,02:00:00 fm,9.768,0
566,6/22/2013,02:30:00 fm,9.669,10.8
567,6/22/2013,03:00:00 fm,9.669,10.8
568,6/22/2013,03:30:00 fm,9.571,53.8
569,6/22/2013,04:00:00 fm,9.571,43.1
570,6/22/2013,04:30:00 fm,9.472,226
